Sample Number:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
841.428,18.04403433,7.916430496,10.42874158,12.78499132,13.55149857,10.46978384,9.716922607,13.28503592,10.57903143,10.98134357,10.75740031,11.72892265,14.07771236,10.68039547,8.66089936,11.19408482,8.81153027,10.92579404,8.537263915,8.901355283,6.783941288,9.403999052,8.541180292,9.35694594,9.315958215,8.980873388,6.795789234,6.30422651,9.596287383,9.817839153,9.099171047,8.754805678,11.17981257,10.70689621,7.807111354,8.531417413,15.56097927,11.37893166,8.661750114,9.677002914,8.896954582,13.30474406,12.7611932,10.57908263,9.103561189,8.516090613,9.16362972,7.171124086,6.066927825,7.314029816,7.63300234,6.847561678,8.319085823,8.094841449,8.037320479,8.443501381
845.288,17.73585838,7.806150957,10.21277075,12.82998758,13.28897886,10.37401234,9.653795254,13.21396132,10.39980029,10.84390283,10.86922097,11.643643,13.83637942,10.49048531,8.513063233,11.07902604,8.763718206,11.17485191,8.418678657,8.872402229,6.709763223,9.318887698,8.30094635,9.210428819,9.165721672,8.894339772,6.714225769,6.281207645,9.546663055,9.747809841,9.155517605,8.645352419,11.3413281,10.56500357,7.624511412,8.483065573,15.43610711,11.24994545,8.532193398,9.716922809,8.878978296,13.2074307,12.55898196,10.43912087,9.178192989,8.552158604,9.184595582,7.232148257,5.98752299,7.355983678,7.595603209,6.8538107,8.348975875,8.00228516,7.9506783,8.34333815
849.148,17.63630111,7.746733819,10.05833091,12.86566831,13.28913812,10.36092287,9.755103129,13.17761994,10.11612905,10.79069859,10.79828587,11.45071367,13.73510882,10.44781369,8.66037699,10.92834022,8.738215368,11.23585057,8.423389901,8.897434985,6.741694431,9.216496025,8.177251896,9.110995176,9.235060028,8.874338173,6.659610238,6.193472214,9.544650269,9.715180154,9.192253214,8.574537958,11.52935488,10.74936004,7.704000134,8.514527932,15.71171871,11.30022297,8.515777624,9.79590438,8.951285701,13.14171152,12.65456021,10.47063476,9.278708101,8.681913308,9.196140647,7.32825218,6.060439614,7.518637832,7.717659906,7.007244258,8.467028223,8.0602745,8.029648682,8.292652003
853.008,18.03080154,7.739054494,10.0334065,12.86602932,13.04562155,10.21279096,9.750315829,13.0880472,10.15703442,10.52212253,11.0277786,11.58869919,13.9905645,10.48750877,8.794620581,10.67220197,8.708679152,11.15491664,8.4389157,8.97620328,6.778656116,9.29797252,8.238151322,9.176841549,9.223624011,9.098936727,6.635367149,6.158440921,9.499048899,9.706522599,9.312393752,8.560545046,11.70642232,10.94988101,7.871176644,8.598294249,15.79783586,11.51603304,8.606416981,9.965685141,8.944876494,13.17568315,12.74362418,10.58263251,9.374956835,8.82244421,9.22461065,7.475544794,6.17950485,7.729801615,7.84361472,7.134572446,8.593665002,8.244149745,8.073293825,8.368342224
856.867,18.23474687,7.825141034,9.99019017,12.88243939,12.97528579,10.01971307,9.689663795,13.11035438,10.28095301,10.50049514,10.91018074,11.75292653,14.19143702,10.59582374,8.787866175,10.53011374,8.753850463,10.99473721,8.365293104,8.922275368,6.726459328,9.261918782,8.30419432,9.225283843,9.233604262,9.071632636,6.61921207,6.121919273,9.54830988,9.734204084,9.304979001,8.601594737,11.70917009,10.98698489,7.854853012,8.618915166,15.64472397,11.66659605,8.542641819,9.980603296,8.976360979,13.01324267,12.63061685,10.58947622,9.342390773,8.748094945,9.235999253,7.485876132,6.213995263,7.739276857,7.875077655,7.125580867,8.512593875,8.221749438,7.995437852,8.473230453
860.727,18.2754472,7.725532795,9.912492846,12.51347951,13.19516531,9.944394968,9.675956931,13.16042326,10.22546541,10.62523032,10.48851605,11.57870201,14.02507261,10.4791578,8.796664558,10.51699788,8.628516303,10.85795148,8.338150189,8.709811647,6.669602447,9.013281258,8.313926791,9.254431974,9.200459324,8.985771326,6.491982446,6.011606222,9.403237664,9.586975247,9.020923284,8.52031238,11.39113724,10.94429379,7.70913438,8.505878752,15.35425526,11.40058989,8.374269543,9.720521855,8.762894446,12.74430109,12.55517061,10.33796417,9.199364655,8.506818846,9.105492179,7.238429147,6.10404782,7.396748648,7.623844262,6.904505487,8.26488903,8.062628,7.828723373,8.361919082
864.587,17.65333413,7.602953831,9.883683854,12.17323923,13.00401911,10.07084152,9.568039788,12.67869264,10.26527228,10.53047373,10.48049273,11.19019225,13.55890022,10.20924311,8.548957504,10.54073939,8.349480316,10.51982208,8.414398329,8.575481204,6.631134045,8.779171373,8.283539979,9.324766015,9.032652287,8.998193839,6.358259799,5.975017592,9.107609043,9.273961813,8.731818217,8.435289489,10.89252375,10.47704657,7.510596754,8.236409913,14.98909794,11.05858477,8.368885228,9.423798955,8.452123524,12.48943716,12.51322739,10.01111908,9.011761411,8.189644017,8.854121484,6.972138254,5.94258856,7.134269973,7.488436198,6.711725039,7.908926351,7.929219732,7.672944812,8.101378812
868.447,16.70317087,7.58185073,9.773571441,12.0552766,13.00892016,10.12349729,9.35171044,12.30043219,10.27031568,10.49742412,10.25932349,10.87947834,13.23365503,10.07865414,8.266455522,10.52336271,8.266100818,10.24261841,8.531663606,8.61935343,6.566609233,8.546745648,8.303696831,9.239257679,9.038636685,8.935996478,6.267909602,6.023189963,8.888855784,8.976468232,8.431123007,8.28931244,10.52401862,9.942066101,7.346220177,7.950751727,14.53069084,10.8430527,8.324287407,9.24273623,8.28132519,12.27114012,12.278338,9.844861355,8.806110831,7.876954128,8.700519767,6.746162427,5.864974699,6.965441846,7.419789653,6.532707468,7.58827209,7.776153818,7.669361495,7.922874239
872.307,16.2375397,7.518337323,9.748217936,11.86645478,13.08572901,10.03184071,9.137544891,12.29416114,10.23263475,10.39528713,9.953202779,10.72436239,13.38360226,9.895661449,8.353725868,10.27632854,8.214908759,10.28511281,8.565148519,8.642036622,6.524433281,8.434076831,8.304214333,9.222599415,9.094882527,8.809984588,6.220546545,6.051466934,8.750501568,8.878336081,8.262529297,8.239335145,10.21612679,9.843103902,7.256408123,7.810932092,14.00735021,10.68196524,8.350039202,9.131269404,8.131657799,12.19053035,11.99685812,9.823296077,8.631571273,7.599022942,8.71094252,6.659923698,5.823610214,6.79591322,7.28514216,6.427770565,7.498947881,7.713772513,7.653387836,7.859461456
876.167,16.1838356,7.43630458,9.7874758,11.73482494,12.98156366,9.989951879,9.133833597,12.41066662,10.17879108,10.36161242,9.789208579,10.74379962,13.52198575,9.712806874,8.451257961,10.15482052,8.227773264,10.14371656,8.566233018,8.5675659,6.502379233,8.497997031,8.29327388,9.449041468,9.1818833,8.743311245,6.265666849,6.081474978,8.878342244,8.880217767,8.2350511,8.287314322,10.1241416,9.762566712,7.174208453,7.804390037,13.91189635,10.80410832,8.409609082,9.073950534,8.057582059,12.32023855,11.96146232,9.835444724,8.63185073,7.446318155,8.595729573,6.640803076,5.837893423,6.701134692,7.28344298,6.398910774,7.369752267,7.749615285,7.60302432,7.851906917
880.027,16.45831767,7.4729433,9.8243296,11.79405346,13.05836737,9.951041945,9.184404181,12.36534765,10.15427424,10.54634266,9.819268224,10.83531108,13.28319653,9.766267847,8.537911293,10.21921384,8.265912342,10.07365563,8.536329996,8.605879856,6.512049279,8.547472148,8.344626678,9.531344326,9.225393067,8.866270504,6.310995862,6.189006173,8.964497333,8.784986473,8.175081296,8.313949804,10.23411607,9.583775698,7.217757454,7.743925312,13.75648855,10.78954314,8.419019139,9.133015166,8.115902058,12.42570583,11.84116003,9.888178354,8.59584921,7.475409387,8.551375702,6.651883466,5.8562885,6.672512086,7.306908214,6.398356463,7.220199831,7.732644707,7.679467505,7.815660245
883.887,16.58046158,7.561754,9.899622859,11.98699939,13.1390087,9.996838682,9.243197201,12.29437667,10.20828282,10.53586755,10.14492618,10.76120861,13.20564358,9.889086876,8.54923962,10.32656559,8.309481612,10.23634091,8.558505361,8.778455152,6.550478496,8.46909743,8.491680209,9.552431513,9.297980632,8.984059269,6.316088649,6.251140992,8.942367142,8.796436845,8.121144247,8.308468069,10.136399,9.598755538,7.235105452,7.696278087,13.44998416,10.72177448,8.383637029,9.235023988,8.050495215,12.30811503,11.93642895,9.759808396,8.553291627,7.394912302,8.615231615,6.665419012,5.884826337,6.604598389,7.332636417,6.386506324,7.236336693,7.689312358,7.73290085,7.777081511
887.747,16.42611238,7.512576355,9.796239554,11.95600388,13.14529684,10.00122624,9.312841207,12.30324649,10.19858416,10.37013409,10.15721243,10.7070473,13.12612179,9.936868617,8.532800441,10.28457793,8.391843342,10.23812375,8.539215052,8.790823048,6.488748807,8.397954689,8.545488998,9.426804907,9.343889786,8.976900121,6.303690338,6.214015667,8.944092387,8.875300175,8.115255245,8.221478719,9.914090288,9.614680684,7.14399173,7.654060544,13.40113733,10.62862979,8.232776269,9.138481181,7.951170062,12.26491271,11.97360339,9.552876192,8.646119807,7.263357951,8.516878916,6.580357098,5.904228087,6.570195569,7.281333061,6.335077289,7.242165231,7.650255084,7.67730669,7.852414891
891.607,16.2445032,7.43891194,9.718837765,11.56258977,13.17519121,9.863139273,9.187901621,12.12492998,10.17020105,10.30190622,10.00627004,10.52263467,13.03947249,9.917873553,8.560034657,10.15535022,8.331728012,9.936578115,8.485879159,8.731095933,6.378520552,8.369276812,8.394991647,9.264380446,9.194538709,8.892219889,6.233915111,6.136734907,8.88766641,8.791151919,7.986678977,8.05544013,9.904612406,9.407339487,7.121011789,7.521352034,13.4679433,10.46664657,8.081637873,8.967904759,7.83456246,12.07677416,11.73231756,9.352633575,8.515354401,7.200390327,8.473775234,6.423255625,5.786466209,6.491307733,7.173994258,6.297367629,7.087779764,7.596706176,7.426137216,7.803143515
895.467,16.09567184,7.404399221,9.674373935,11.4544214,13.09594725,9.712869125,8.9694371,11.84554313,10.03662693,10.16069123,9.899295748,10.29807681,12.86015546,9.662779634,8.361739786,10.01725057,8.181649103,9.699311494,8.352274309,8.531930222,6.360079827,8.138624878,8.157298041,9.108698981,9.047652679,8.738657598,6.156200553,6.04961655,8.674431322,8.479226081,7.74302459,7.853193116,9.804196945,9.126315176,6.978082743,7.302957158,13.38825981,10.28041053,7.9292353,8.838348864,7.690752177,11.81031128,11.53842499,9.235574512,8.292602913,7.017870445,8.311965297,6.265797577,5.635608742,6.311799156,7.010510687,6.135032131,6.938706106,7.465699875,7.304989991,7.622915609
899.327,15.75614942,7.229230628,9.466615577,11.50842318,12.83533864,9.440090623,8.75689482,11.53537304,9.853024667,9.936712502,9.708874152,10.25315209,12.76467437,9.347800187,8.139741702,9.756228949,8.009332172,9.648179628,8.158881035,8.331970739,6.332179903,7.978146234,7.989777443,8.982232056,8.905182722,8.534518941,6.072582104,5.949699561,8.510010218,8.14670614,7.533738776,7.688613238,9.473074246,8.868655159,6.79391728,7.050348675,13.04677591,9.884005719,7.730933713,8.525094983,7.498447635,11.65002739,11.12384996,9.136975824,8.183972368,6.86524238,8.046297919,6.127085626,5.469886698,6.207802092,6.813671345,5.941974857,6.849843159,7.309469352,7.244259557,7.464960892
903.187,15.79168974,7.021991503,9.395465493,11.30670717,12.56506664,9.194064121,8.636543834,11.35934859,9.6941016,9.669962016,9.589208907,10.20721639,12.87156659,9.090634599,8.10209649,9.609120183,7.74504754,9.588599086,8.014051539,8.309791825,6.201684203,8.027567099,7.910300832,8.97220185,8.717188189,8.409962703,5.999882154,5.864542528,8.639369632,7.855961418,7.307967025,7.55651708,9.245086565,8.678987079,6.720129827,6.912837803,12.7281695,9.731552914,7.492328429,8.377362047,7.340145094,11.4808932,10.85058197,8.959476807,8.006271219,6.862265207,7.898282183,6.100325299,5.355801092,6.082509391,6.774540237,5.843880834,6.714163606,7.200696574,7.057660579,7.298792531
907.047,16.1326793,6.951435864,9.47834889,11.16053506,12.49626181,9.163159338,8.632957149,11.42686698,9.490340938,9.590951232,9.722452087,10.17967249,13.07397043,9.032518324,8.098321595,9.623035878,7.716828559,9.759222432,7.966413671,8.381879364,6.154900402,8.238513901,7.999186833,8.958761833,8.60612413,8.458960261,5.997037704,5.878783371,8.775614343,7.760045875,7.224014852,7.457076326,9.390993743,8.696785914,6.762260236,6.92360419,12.84084781,9.697758442,7.344629034,8.439173371,7.270467246,11.52908052,10.99694871,9.026221031,8.037382241,6.913707753,7.91907353,6.208413425,5.316322475,6.10535831,6.821311406,5.837602812,6.718911975,7.135394419,7.143017648,7.313215213
910.907,16.50832174,7.010480185,9.52436712,11.26849939,12.69414311,9.223191663,8.679515023,11.43706312,9.536165396,9.714618536,10.05612663,10.33187755,13.27114438,9.23335594,8.191267026,9.760439111,7.944796043,10.03620941,8.031536485,8.473342403,6.240991329,8.468611524,8.058199235,8.986706953,8.73604561,8.5584292,6.067820181,5.958715789,8.876765997,7.966217386,7.339561805,7.514349613,9.844937376,8.804309058,6.889968653,7.06928703,13.42147402,9.745753051,7.356919116,8.476950651,7.391007034,11.77030243,11.3676325,9.246557267,8.273130345,7.109655769,8.050492295,6.331535201,5.382008889,6.321989039,6.906887278,5.950590743,6.937856567,7.200662362,7.24299804,7.465380706
914.767,16.87148285,7.030378708,9.450653838,11.6084493,12.76972926,9.15570705,8.823890068,11.48081537,9.675211663,9.623060832,10.35316165,10.44112039,13.38732627,9.328724161,8.250019983,9.711267793,8.163331372,10.01476162,8.05749398,8.475013993,6.312704535,8.578593707,8.062557976,8.935988898,8.812584004,8.525690134,6.066196576,5.946944079,8.936109206,8.0669929,7.467100759,7.660735782,10.06661823,8.921858251,6.983635013,7.152711682,13.63870821,9.810612605,7.416357582,8.540065921,7.491866994,11.65927648,11.49776327,9.387931026,8.435573139,7.401276947,8.158720132,6.406822921,5.418281702,6.436158583,7.018263194,6.061068125,7.093269654,7.326843346,7.192506846,7.4982059
918.627,16.84265554,6.918895772,9.294472043,11.55223832,12.51034335,8.926925325,8.840341673,11.56120742,9.558840423,9.452416574,10.23170895,10.37503382,13.43177524,9.173172758,8.096361343,9.544380762,8.110935164,10.01388843,7.924680478,8.326616048,6.33965378,8.528727035,7.978846997,8.799223579,8.735047585,8.391937643,5.97298029,5.813989775,8.757778967,7.931657395,7.385252618,7.570085042,9.955204614,8.957796811,6.981597663,7.049981245,13.62073376,9.676136718,7.366799306,8.51575232,7.371440596,11.50547463,11.26642745,9.428076002,8.423413032,7.415312191,8.176941897,6.412811618,5.377045266,6.42724026,6.986951749,5.991464791,7.025859757,7.256114312,7.189434241,7.407215587
922.487,16.84565421,6.771264914,9.089217208,11.11115572,12.27438385,8.724297296,8.654145537,11.39961508,9.314258117,9.342631623,9.843793495,10.22870375,13.05650524,8.910480337,7.871471113,9.428680439,7.83828431,9.879119396,7.848353843,8.083301691,6.302568946,8.423309065,7.785148222,8.644936688,8.595382229,8.27334938,5.829657013,5.646709166,8.654081269,7.803677571,7.187627192,7.40182064,9.709964859,8.791674351,6.853012844,6.907334187,13.62609089,9.559508582,7.226934838,8.341819264,7.296521184,11.37945073,10.96164128,9.314263539,8.237441817,7.304911613,8.029980773,6.339685624,5.320904238,6.377983359,6.793735657,5.870741544,6.893449908,7.147181879,7.181171239,7.34329273
926.347,16.63445195,6.698433438,8.995671812,10.9585326,12.28359516,8.737969923,8.449003953,11.28851024,9.305074452,9.274692625,9.711197847,10.10572653,12.73080727,8.840362668,7.828094394,9.389349716,7.717239016,9.741271677,7.794220194,8.047186015,6.229429257,8.362912861,7.70164453,8.535947913,8.455519894,8.214941561,5.737360724,5.576500476,8.671184724,7.785689017,7.180036015,7.454756757,9.54457282,8.72027351,6.806527328,6.93386984,13.53495335,9.519806044,7.194886228,8.278979641,7.22280451,11.18123788,10.86435069,9.295800678,8.146849294,7.330076647,7.967522484,6.275918439,5.305669234,6.362299336,6.726440022,5.848329827,6.888900057,7.207785586,7.173413397,7.377557883
930.207,16.34911312,6.788380287,9.039362704,11.05653787,12.31776382,8.920364181,8.572286592,11.26023873,9.436076133,9.400209173,9.734471898,10.07228573,12.70359964,8.88684664,7.930504366,9.417784666,7.755704786,9.770200561,7.837222108,8.197804653,6.254594699,8.303960222,7.708231961,8.846054194,8.643848353,8.193712449,5.802607168,5.701699074,8.620509565,7.918766499,7.329386329,7.618800881,9.692832714,8.778014555,6.885248293,7.023205866,13.62396845,9.554125615,7.412056053,8.342315819,7.221057772,11.54241272,11.08448447,9.419574187,8.209546414,7.375379712,8.026216667,6.375089139,5.421989414,6.414696523,6.867690577,5.926350655,7.042783391,7.314792169,7.208987054,7.462769468
934.067,16.4368761,6.920205352,9.258254781,11.21793109,12.35956148,8.995442454,8.762180551,11.22412945,9.510136556,9.590697878,9.779566424,10.1118613,12.76398756,9.017449907,8.022952908,9.437446862,7.782857833,9.742164173,8.060806749,8.373599859,6.275640225,8.339511544,7.800904877,9.010963858,8.902920282,8.214626607,5.847760977,5.804865957,8.53139019,8.067407051,7.403929167,7.675370381,9.854940827,8.8062311,6.945657942,7.080793879,13.53672885,9.714247112,7.62631994,8.434000597,7.251396212,11.77890117,11.28010411,9.417913598,8.296763097,7.426085054,8.138864546,6.447721131,5.516407453,6.458084017,6.939751099,5.999521751,7.070113148,7.332025038,7.274527628,7.526583173
937.927,16.49143186,6.981216401,9.423939166,11.3352031,12.49269134,9.038830829,8.820197297,11.24477872,9.53288769,9.571568503,9.924073961,10.24383099,12.9213065,9.168898452,8.108472315,9.37967795,7.826177896,9.732406789,8.173195784,8.436686962,6.300788874,8.332458833,7.931741433,8.986030099,8.941901415,8.328096867,5.870522858,5.763176211,8.567324958,8.038131985,7.348417361,7.68541698,9.835505349,8.900943048,6.946527101,7.058312284,13.52681561,9.833826473,7.580891058,8.480569247,7.322306496,11.5913823,11.23652219,9.42066053,8.375991033,7.39585966,8.153677252,6.490671495,5.524962173,6.455231981,6.949257447,5.958356377,7.071526127,7.291399714,7.258892594,7.625044062
941.787,16.76419631,7.044445476,9.431040535,11.40127504,12.74891263,9.159365033,8.946899916,11.45181438,9.582388151,9.673539747,10.05218747,10.44951815,13.24510686,9.178449562,8.157136435,9.419470841,7.950969665,9.773800581,8.232944158,8.468723586,6.388828737,8.328654144,8.014693314,9.254105041,8.958935377,8.505712762,5.931444342,5.827705645,8.673631435,8.095722366,7.373579163,7.705165591,10.00351112,9.091167191,6.979869692,7.084018978,13.45138211,9.914102034,7.597151355,8.471449447,7.467744728,11.68263697,11.26145613,9.498387509,8.519631957,7.417126849,8.17773925,6.523034852,5.528815656,6.499362396,7.005107046,5.966905693,7.133444675,7.386872576,7.266524145,7.636889091
945.647,16.775461,7.176119526,9.573440161,11.4932727,12.90030585,9.309693244,9.091753186,11.72563894,9.810427176,9.99599486,10.29000031,10.67555649,13.44408685,9.338318133,8.325139315,9.661815798,8.154248944,9.791032618,8.428895696,8.618423316,6.453498157,8.487186807,8.152243103,9.315121488,9.07510212,8.7152763,6.048256648,5.975964135,8.799088135,8.337231751,7.510792088,7.79433205,10.21587988,9.198847483,7.078983816,7.24659354,13.37819861,10.09943671,7.744138147,8.611202314,7.54569191,11.89304389,11.52845657,9.633879602,8.613598458,7.562999983,8.384055005,6.525940676,5.630144926,6.64757907,7.163099518,6.110643084,7.266180034,7.583595853,7.487558778,7.737766005
949.507,17.00809767,7.361769472,9.770672923,11.69605604,13.10113085,9.555033086,9.349369833,12.02954213,10.06843488,10.14788622,10.60436019,10.85246967,13.46869989,9.615914666,8.533086197,9.9211027,8.304084928,9.896432959,8.69893759,8.875218717,6.619056984,8.6842735,8.363882905,9.430942654,9.279091319,8.871826616,6.182927213,6.12653728,9.017789114,8.522562469,7.705831582,7.940383374,10.44904565,9.234527354,7.276247711,7.430743444,13.79957518,10.34438556,7.926808749,8.932262275,7.674760208,12.07435989,11.81709884,9.905355999,8.796083912,7.676366059,8.621002644,6.669485556,5.747977116,6.79091835,7.32810423,6.25220607,7.471029869,7.785344017,7.768066492,8.069510792
953.367,17.83696866,7.554218611,10.14308698,12.06307355,13.60622699,9.819778667,9.737263998,12.43440375,10.41720612,10.49661907,10.97011116,11.11582373,13.88709612,9.854313789,8.865628298,10.22014662,8.549815188,10.32494473,8.877601218,9.164583036,6.883310917,8.903376915,8.480745474,9.754591118,9.511415425,9.167784463,6.396720251,6.294206804,9.36656836,8.820338752,8.053135668,8.137018368,10.84679924,9.591050446,7.506697955,7.73151557,14.01640121,10.59780339,8.221948411,9.17315597,7.988040548,12.3673031,12.00713587,10.30275373,9.035677345,7.884573022,8.929817333,6.96144539,6.000409662,6.991650773,7.586813702,6.444939062,7.77474298,8.063785506,7.925413274,8.309272408
957.227,18.03743583,7.815138681,10.62018867,12.6045315,14.16803458,10.09400623,10.17377375,12.86823321,10.91740889,11.06859189,11.5455613,11.43271311,14.55429875,10.09751585,9.360365327,10.47153656,9.113478604,10.86044017,9.163745601,9.55733191,7.149824459,9.278734425,8.770083509,10.16283864,9.893338238,9.578377497,6.703899893,6.579591755,9.71557241,9.282028751,8.550897626,8.504922856,11.36568065,10.17481694,7.735195696,8.115889342,14.24767619,11.06454057,8.638017669,9.473116252,8.352116684,12.93429252,12.2460686,10.67786527,9.375975921,8.292709241,9.28119561,7.327795939,6.36862218,7.356945234,7.973086587,6.749772164,8.285710034,8.439160996,8.104230818,8.658292508
